Athlete,Age,Country,Year,Date,Sport,Gold,Silver,Bronze
Louis Smith,23,Great Britain,2012,12/8/12,Gymnastics,0,1,1
Max Whitlock,19,Great Britain,2012,12/8/12,Gymnastics,0,0,2
Chen Yibing,23,China,2008,24/08/2008,Gymnastics,2,0,0
Anton Golotsutskov,23,Russia,2008,24/08/2008,Gymnastics,0,0,2
He Kexin,16,China,2008,24/08/2008,Gymnastics,2,0,0
Jonathan Horton,22,United States,2008,24/08/2008,Gymnastics,0,1,1
Sandra Izbasa,18,Romania,2008,24/08/2008,Gymnastics,1,0,1
Li Xiaopeng,27,China,2008,24/08/2008,Gymnastics,2,0,0
Kohei Uchimura,19,Japan,2008,24/08/2008,Gymnastics,0,2,0
Xiao Qin,23,China,2008,24/08/2008,Gymnastics,2,0,0
Alexandra Eremia,17,Romania,2004,29/08/2004,Gymnastics,1,0,1
Annia Hatch,26,United States,2004,29/08/2004,Gymnastics,0,2,0
Terin Humphrey,18,United States,2004,29/08/2004,Gymnastics,0,2,0
Takehiro Kashima,24,Japan,2004,29/08/2004,Gymnastics,1,0,1
Svetlana Khorkina,25,Russia,2004,29/08/2004,Gymnastics,0,1,1
Courtney Kupets,18,United States,2004,29/08/2004,Gymnastics,0,1,1
Anna Pavlova,16,Russia,2004,29/08/2004,Gymnastics,0,0,2
Monica Rosu,17,Romania,2004,29/08/2004,Gymnastics,2,0,0
Dana Sofronie,16,Romania,2004,29/08/2004,Gymnastics,1,1,0
Hiroyuki Tomita,23,Japan,2004,29/08/2004,Gymnastics,1,1,0
Marius Urzica,28,Romania,2004,29/08/2004,Gymnastics,0,1,1
Isao Yoneda,26,Japan,2004,29/08/2004,Gymnastics,1,0,1
Yordan Yovchev,31,Bulgaria,2004,29/08/2004,Gymnastics,0,1,1
Oleksandr Beresh,22,Ukraine,2000,1/10/00,Gymnastics,0,1,1
Aleksey Bondarenko,22,Russia,2000,1/10/00,Gymnastics,0,1,1
Lee Ju-Hyeong,27,South Korea,2000,1/10/00,Gymnastics,0,1,1
Li Xiaopeng,19,China,2000,1/10/00,Gymnastics,2,0,0
Liu Xuan,21,China,2000,1/10/00,Gymnastics,1,0,1
Maria Olaru,18,Romania,2000,1/10/00,Gymnastics,1,1,0
Yelena Produnova,20,Russia,2000,1/10/00,Gymnastics,0,1,1
Andreea Raducan,16,Romania,2000,1/10/00,Gymnastics,1,1,0
Yang Wei,20,China,2000,1/10/00,Gymnastics,1,1,0
Yordan Yovchev,27,Bulgaria,2000,1/10/00,Gymnastics,0,0,2
Elisa Di Francisca,29,Italy,2012,12/8/12,Fencing,2,0,0
Arianna Errigo,24,Italy,2012,12/8/12,Fencing,1,1,0
Diego Occhiuzzi,31,Italy,2012,12/8/12,Fencing,0,1,1
Sun Yujie,19,China,2012,12/8/12,Fencing,1,0,1
Valentina Vezzali,38,Italy,2012,12/8/12,Fencing,1,0,1
Stefano Carozzo,29,Italy,2008,24/08/2008,Fencing,0,0,2
Margherita Granbassi,28,Italy,2008,24/08/2008,Fencing,0,0,2
Sada Jacobson,25,United States,2008,24/08/2008,Fencing,0,1,1
Fabrice Jeannet,27,France,2008,24/08/2008,Fencing,1,1,0
Nicolas Lopez,27,France,2008,24/08/2008,Fencing,1,1,0
Matteo Tagliariol,25,Italy,2008,24/08/2008,Fencing,1,0,1
Valentina Vezzali,34,Italy,2008,24/08/2008,Fencing,1,0,1
Becca Ward,18,United States,2008,24/08/2008,Fencing,0,0,2
Mariel Zagunis,23,United States,2008,24/08/2008,Fencing,1,0,1
Andrea Cassarà,20,Italy,2004,29/08/2004,Fencing,1,0,1
Laura Flessel-Colovic,32,France,2004,29/08/2004,Fencing,0,1,1
Aldo Montano,25,Italy,2004,29/08/2004,Fencing,1,1,0
Maureen Nisima,23,France,2004,29/08/2004,Fencing,0,0,2
Salvatore Sanzo,28,Italy,2004,29/08/2004,Fencing,1,1,0
Mathieu Gourdain,26,France,2000,1/10/00,Fencing,0,2,0
Gianna Hablützel-Bürki,30,Switzerland,2000,1/10/00,Fencing,0,2,0
Rita König,23,Germany,2000,1/10/00,Fencing,0,1,1
Wiradech Kothny,21,Germany,2000,1/10/00,Fencing,0,0,2
Hugues Obry,27,France,2000,1/10/00,Fencing,0,2,0
Giovanna Trillini,30,Italy,2000,1/10/00,Fencing,1,0,1
Valentina Vezzali,26,Italy,2000,1/10/00,Fencing,2,0,0
Sandra Auffarth,25,Germany,2012,12/8/12,Equestrian,1,0,1
Laura Bechtolsheimer,27,Great Britain,2012,12/8/12,Equestrian,1,0,1
Adelinde Cornelissen,33,Netherlands,2012,12/8/12,Equestrian,0,1,1
Charlotte Dujardin,27,Great Britain,2012,12/8/12,Equestrian,2,0,0
Michael Jung,29,Germany,2012,12/8/12,Equestrian,2,0,0
Gerco Schröder,34,Netherlands,2012,12/8/12,Equestrian,0,2,0
Tina Cook,37,Great Britain,2008,24/08/2008,Equestrian,0,0,2
Heike Kemmer,46,Germany,2008,24/08/2008,Equestrian,1,0,1
Eric Lamaze,40,Canada,2008,24/08/2008,Equestrian,1,1,0
Beezie Madden,44,United States,2008,24/08/2008,Equestrian,1,0,1
Hinrich Romeike,45,Germany,2008,24/08/2008,Equestrian,2,0,0
Anky van Grunsven,40,Netherlands,2008,24/08/2008,Equestrian,1,1,0
Isabell Werth,39,Germany,2008,24/08/2008,Equestrian,1,1,0
Beatriz Ferrer-Salat,38,Spain,2004,29/08/2004,Equestrian,0,1,1
Pippa Funnell,35,Great Britain,2004,29/08/2004,Equestrian,0,1,1
Chris Kappler,37,United States,2004,29/08/2004,Equestrian,1,1,0
Marco Kutscher,29,Germany,2004,29/08/2004,Equestrian,0,0,2
Leslie Law,39,Great Britain,2004,29/08/2004,Equestrian,1,1,0
Ulla Salzgeber,46,Germany,2004,29/08/2004,Equestrian,1,1,0
Kim Severson,30,United States,2004,29/08/2004,Equestrian,0,1,1
Andrew Hoy,41,Australia,2000,1/10/00,Equestrian,1,1,0
David O'Connor,38,United States,2000,1/10/00,Equestrian,1,0,1
Ulla Salzgeber,42,Germany,2000,1/10/00,Equestrian,1,0,1
Anky van Grunsven,32,Netherlands,2000,1/10/00,Equestrian,1,1,0
Isabell Werth,31,Germany,2000,1/10/00,Equestrian,1,1,0
David Boudia,23,United States,2012,12/8/12,Diving,1,0,1
Chen Ruolin,19,China,2012,12/8/12,Diving,2,0,0
He Zi,21,China,2012,12/8/12,Diving,1,1,0
Qin Kai,26,China,2012,12/8/12,Diving,1,1,0
Wu Minxia,26,China,2012,12/8/12,Diving,2,0,0
Ilya Zakharov,21,Russia,2012,12/8/12,Diving,1,1,0
Chen Ruolin,15,China,2008,24/08/2008,Diving,2,0,0
Gleb Galperin,25,Russia,2008,24/08/2008,Diving,0,0,2
Guo Jingjing,26,China,2008,24/08/2008,Diving,2,0,0
Yuliya Pakhalina,30,Russia,2008,24/08/2008,Diving,0,2,0
Qin Kai,22,China,2008,24/08/2008,Diving,1,0,1
Wang Xin,16,China,2008,24/08/2008,Diving,1,0,1
Wu Minxia,22,China,2008,24/08/2008,Diving,1,0,1
Guo Jingjing,22,China,2004,29/08/2004,Diving,2,0,0
Mathew Helm,23,Australia,2004,29/08/2004,Diving,0,1,1
Lao Lishi,16,China,2004,29/08/2004,Diving,1,1,0
Chantelle Michell-Newbery,27,Australia,2004,29/08/2004,Diving,1,0,1
Robert Newbery,25,Australia,2004,29/08/2004,Diving,0,0,2
Yuliya Pakhalina,26,Russia,2004,29/08/2004,Diving,0,1,1
Tian Liang,24,China,2004,29/08/2004,Diving,1,0,1
Wu Minxia,18,China,2004,29/08/2004,Diving,1,1,0
Fu Mingxia,22,China,2000,1/10/00,Diving,1,1,0
Guo Jingjing,18,China,2000,1/10/00,Diving,0,2,0
Hu Jia,17,China,2000,1/10/00,Diving,0,2,0
Li Na,16,China,2000,1/10/00,Diving,1,1,0
Anne Montminy,25,Canada,2000,1/10/00,Diving,0,1,1
Tian Liang,21,China,2000,1/10/00,Diving,1,1,0
Xiong Ni,26,China,2000,1/10/00,Diving,2,0,0
Grégory Baugé,27,France,2012,12/8/12,Cycling,0,2,0
Ed Clancy,27,Great Britain,2012,12/8/12,Cycling,1,0,1
Sarah Hammer,28,United States,2012,12/8/12,Cycling,0,2,0
Chris Hoy,36,Great Britain,2012,12/8/12,Cycling,2,0,0
Jason Kenny,24,Great Britain,2012,12/8/12,Cycling,2,0,0
Maximilian Levy,25,Germany,2012,12/8/12,Cycling,0,1,1
Anna Meares,28,Australia,2012,12/8/12,Cycling,1,0,1
Vicki Pendleton,31,Great Britain,2012,12/8/12,Cycling,1,1,0
Laura Trott,20,Great Britain,2012,12/8/12,Cycling,2,0,0
Olga Zabelinskaya,32,Russia,2012,12/8/12,Cycling,0,0,2
Mickaël Bourgain,28,France,2008,24/08/2008,Cycling,0,1,1
Fabian Cancellara,27,Switzerland,2008,24/08/2008,Cycling,1,1,0
Jason Kenny,20,Great Britain,2008,24/08/2008,Cycling,1,1,0
Joan Llaneras,39,Spain,2008,24/08/2008,Cycling,1,1,0
Hayden Roulston,27,New Zealand,2008,24/08/2008,Cycling,0,1,1
Bradley Wiggins,28,Great Britain,2008,24/08/2008,Cycling,2,0,0
Ryan Bayley,22,Australia,2004,29/08/2004,Cycling,2,0,0
Graeme Brown,25,Australia,2004,29/08/2004,Cycling,2,0,0
Sergi Escobar,29,Spain,2004,29/08/2004,Cycling,0,0,2
Rob Hayles,31,Great Britain,2004,29/08/2004,Cycling,0,1,1
Brad McGee,28,Australia,2004,29/08/2004,Cycling,1,1,0
Anna Meares,20,Australia,2004,29/08/2004,Cycling,1,0,1
Stefan Nimke,26,Germany,2004,29/08/2004,Cycling,1,0,1
Olga Slyusareva,35,Russia,2004,29/08/2004,Cycling,1,0,1
Arnaud Tournant,26,France,2004,29/08/2004,Cycling,0,1,1
René Wolff,26,Germany,2004,29/08/2004,Cycling,1,0,1
Leontien Zijlaard-van Moorsel,34,Netherlands,2004,29/08/2004,Cycling,1,0,1
Félicia Ballanger,29,France,2000,1/10/00,Cycling,2,0,0
Robert Bartko,24,Germany,2000,1/10/00,Cycling,2,0,0
Jens Fiedler,30,Germany,2000,1/10/00,Cycling,0,0,2
Jens Lehmann,32,Germany,2000,1/10/00,Cycling,1,1,0
Gary Neiwand,34,Australia,2000,1/10/00,Cycling,0,1,1
Jason Queally,30,Great Britain,2000,1/10/00,Cycling,1,1,0
Jan Ullrich,26,Germany,2000,1/10/00,Cycling,1,1,0
Lukáš Bauer,32,Czech Republic,2010,28/02/2010,Cross Country Skiing,0,0,2
Anna Haag,23,Sweden,2010,28/02/2010,Cross Country Skiing,0,2,0
Marcus Hellner,24,Sweden,2010,28/02/2010,Cross Country Skiing,2,0,0
Charlotte Kalla,22,Sweden,2010,28/02/2010,Cross Country Skiing,1,1,0
Claudia Künzel-Nystad,32,Germany,2010,28/02/2010,Cross Country Skiing,1,1,0
Aino-Kaisa Saarinen,31,Finland,2010,28/02/2010,Cross Country Skiing,0,0,2
Evi Sachenbacher-Stehle,29,Germany,2010,28/02/2010,Cross Country Skiing,1,1,0
Axel Teichmann,30,Germany,2010,28/02/2010,Cross Country Skiing,0,2,0
Tobias Angerer,28,Germany,2006,26/02/2006,Cross Country Skiing,0,1,1
Yuliya Chepalova,29,Russia,2006,26/02/2006,Cross Country Skiing,1,1,0
Yevgeny Dementyev,23,Russia,2006,26/02/2006,Cross Country Skiing,1,1,0
Giorgio Di Centa,33,Italy,2006,26/02/2006,Cross Country Skiing,2,0,0
Thobias Fredriksson,30,Sweden,2006,26/02/2006,Cross Country Skiing,1,0,1
Claudia Künzel-Nystad,28,Germany,2006,26/02/2006,Cross Country Skiing,0,2,0
Björn Lind,27,Sweden,2006,26/02/2006,Cross Country Skiing,2,0,0
Yevgeniya Medvedeva,29,Russia,2006,26/02/2006,Cross Country Skiing,1,0,1
Katerina Neumannová,32,Czech Republic,2006,26/02/2006,Cross Country Skiing,1,1,0
Pietro Piller Cottrer,31,Italy,2006,26/02/2006,Cross Country Skiing,1,0,1
Kristina Šmigun-Vähi,28,Estonia,2006,26/02/2006,Cross Country Skiing,2,0,0
Thomas Alsgaard,30,Norway,2002,24/02/2002,Cross Country Skiing,2,0,0
Viola Bauer,25,Germany,2002,24/02/2002,Cross Country Skiing,1,0,1
Anita Moen-Guidon,34,Norway,2002,24/02/2002,Cross Country Skiing,0,1,1
Katerina Neumannová,28,Czech Republic,2002,24/02/2002,Cross Country Skiing,0,2,0
Evi Sachenbacher-Stehle,21,Germany,2002,24/02/2002,Cross Country Skiing,1,1,0
Kristen Skjeldal,34,Norway,2002,24/02/2002,Cross Country Skiing,1,0,1
Andrus Veerpalu,31,Estonia,2002,24/02/2002,Cross Country Skiing,1,1,0
Cristian Zorzi,29,Italy,2002,24/02/2002,Cross Country Skiing,0,1,1
Tina Dietze,24,Germany,2012,12/8/12,Canoeing,1,1,0
Natasa Douchev-Janics,30,Hungary,2012,12/8/12,Canoeing,0,1,1
Katalin Kovács,36,Hungary,2012,12/8/12,Canoeing,1,1,0
Danuta Kozák,25,Hungary,2012,12/8/12,Canoeing,2,0,0
Inna Osypenko-Radomska,29,Ukraine,2012,12/8/12,Canoeing,0,2,0
Franziska Weber,23,Germany,2012,12/8/12,Canoeing,1,1,0
Tim Brabants,31,Great Britain,2008,24/08/2008,Canoeing,1,0,1
David Cal,25,Spain,2008,24/08/2008,Canoeing,0,2,0
Natasa Douchev-Janics,26,Hungary,2008,24/08/2008,Canoeing,1,1,0
Christian Gille,32,Germany,2008,24/08/2008,Canoeing,0,1,1
Katalin Kovács,32,Hungary,2008,24/08/2008,Canoeing,1,1,0
Vadim Makhnyov,28,Belarus,2008,24/08/2008,Canoeing,1,0,1
Roman Petrushenko,27,Belarus,2008,24/08/2008,Canoeing,1,0,1
Katrin Wagner-Augustin,30,Germany,2008,24/08/2008,Canoeing,1,0,1
Ken Wallace,25,Australia,2008,24/08/2008,Canoeing,1,0,1
Tomasz Wylenzek,25,Germany,2008,24/08/2008,Canoeing,0,1,1
Nathan Baggaley,28,Australia,2004,29/08/2004,Canoeing,0,2,0
David Cal,21,Spain,2004,29/08/2004,Canoeing,1,1,0
Andreas Dittmer,32,Germany,2004,29/08/2004,Canoeing,1,1,0
Natasa Douchev-Janics,22,Hungary,2004,29/08/2004,Canoeing,2,0,0
Birgit Fischer-Schmidt,42,Germany,2004,29/08/2004,Canoeing,1,1,0
Aleksandr Kostoglod,30,Russia,2004,29/08/2004,Canoeing,0,1,1
Katalin Kovács,28,Hungary,2004,29/08/2004,Canoeing,1,1,0
Aleksandr Kovalyov,29,Russia,2004,29/08/2004,Canoeing,0,1,1
Eirik Verås Larsen,28,Norway,2004,29/08/2004,Canoeing,1,0,1
Carolin Leonhardt,19,Germany,2004,29/08/2004,Canoeing,1,1,0
Adam Van Koeverden,22,Canada,2004,29/08/2004,Canoeing,1,0,1
Andreas Dittmer,28,Germany,2000,1/10/00,Canoeing,1,0,1
Birgit Fischer-Schmidt,38,Germany,2000,1/10/00,Canoeing,2,0,0
Knut Holmann,32,Norway,2000,1/10/00,Canoeing,2,0,0
Zoltán Kammerer,22,Hungary,2000,1/10/00,Canoeing,2,0,0
Katalin Kovács,24,Hungary,2000,1/10/00,Canoeing,0,2,0
Petar Merkov,23,Bulgaria,2000,1/10/00,Canoeing,0,2,0
Florin Popescu,26,Romania,2000,1/10/00,Canoeing,1,0,1
Mitica Pricop,22,Romania,2000,1/10/00,Canoeing,1,0,1
Botond Storcz,25,Hungary,2000,1/10/00,Canoeing,2,0,0
Szilvia Szabó,21,Hungary,2000,1/10/00,Canoeing,0,2,0
Katrin Wagner-Augustin,22,Germany,2000,1/10/00,Canoeing,2,0,0
Kevin Kuske,31,Germany,2010,28/02/2010,Bobsleigh,1,1,0
André Lange,36,Germany,2010,28/02/2010,Bobsleigh,1,1,0
Martin Annen,32,Switzerland,2006,26/02/2006,Bobsleigh,0,0,2
Beat Hefti,28,Switzerland,2006,26/02/2006,Bobsleigh,0,0,2
Kevin Kuske,27,Germany,2006,26/02/2006,Bobsleigh,2,0,0
André Lange,32,Germany,2006,26/02/2006,Bobsleigh,2,0,0
Ole Einar Bjørndalen,36,Norway,2010,28/02/2010,Biathlon,1,1,0
Marie Laure Brunet,21,France,2010,28/02/2010,Biathlon,0,1,1
Marie Dorin,23,France,2010,28/02/2010,Biathlon,0,1,1
Simone Hauswald,30,Germany,2010,28/02/2010,Biathlon,0,0,2
Vincent Jay,24,France,2010,28/02/2010,Biathlon,1,0,1
Anastasia Kuzmina,25,Slovakia,2010,28/02/2010,Biathlon,1,1,0
Christoph Sumann,34,Austria,2010,28/02/2010,Biathlon,0,2,0
Yevgeny Ustyugov,24,Russia,2010,28/02/2010,Biathlon,1,0,1
Olga Zaytseva,31,Russia,2010,28/02/2010,Biathlon,1,1,0
Florence Baverel-Robert,31,France,2006,26/02/2006,Biathlon,1,0,1
Vincent Defrasne,28,France,2006,26/02/2006,Biathlon,1,0,1
Halvard Hanevold,36,Norway,2006,26/02/2006,Biathlon,0,1,1
Svetlana Ishmuratova,33,Russia,2006,26/02/2006,Biathlon,2,0,0
Anna-Carin Olofsson-Zidek,32,Sweden,2006,26/02/2006,Biathlon,1,1,0
Uschi Disl,31,Germany,2002,24/02/2002,Biathlon,1,1,0
Sven Fischer,30,Germany,2002,24/02/2002,Biathlon,0,2,0
Ricco Groß,31,Germany,2002,24/02/2002,Biathlon,0,1,1
Andrea Henkel,24,Germany,2002,24/02/2002,Biathlon,2,0,0
Frank Luck,34,Germany,2002,24/02/2002,Biathlon,0,2,0
Raphaël Poirée,27,France,2002,24/02/2002,Biathlon,0,1,1
Olga Pylyova-Medvedtseva,26,Russia,2002,24/02/2002,Biathlon,1,0,1
Liv Grete Skjelbreid-Poirée,27,Norway,2002,24/02/2002,Biathlon,0,2,0
Magdalena Wallin-Forsberg,34,Sweden,2002,24/02/2002,Biathlon,0,0,2
Zhao Yunlei,25,China,2012,12/8/12,Badminton,2,0,0
Lee Hyo-Jeong,27,South Korea,2008,24/08/2008,Badminton,1,1,0
Yu Yang,22,China,2008,24/08/2008,Badminton,1,0,1
Gao Ling,25,China,2004,29/08/2004,Badminton,1,1,0
Gao Ling,21,China,2000,1/10/00,Badminton,1,0,1
Nataliya Antyukh,31,Russia,2012,12/8/12,Athletics,1,1,0
Veronica Campbell-Brown,30,Jamaica,2012,12/8/12,Athletics,0,1,1
Vivian Cheruiyot,28,Kenya,2012,12/8/12,Athletics,0,1,1
Will Claye,21,United States,2012,12/8/12,Athletics,0,1,1
Tirunesh Dibaba,27,Ethiopia,2012,12/8/12,Athletics,1,0,1
Mo Farah,29,Great Britain,2012,12/8/12,Athletics,2,0,0
Justin Gatlin,30,United States,2012,12/8/12,Athletics,0,1,1
Lalonde Gordon,23,Trinidad and Tobago,2012,12/8/12,Athletics,0,0,2
Sanya Richards-Ross,27,United States,2012,12/8/12,Athletics,2,0,0
DeeDee Trotter,29,United States,2012,12/8/12,Athletics,1,0,1
Elvan Abeylegesse,25,Turkey,2008,24/08/2008,Athletics,0,2,0
Kenenisa Bekele,26,Ethiopia,2008,24/08/2008,Athletics,2,0,0
Kerron Clement,22,United States,2008,24/08/2008,Athletics,1,1,0
Tirunesh Dibaba,23,Ethiopia,2008,24/08/2008,Athletics,2,0,0
Walter Dix,22,United States,2008,24/08/2008,Athletics,0,0,2
Allyson Felix,22,United States,2008,24/08/2008,Athletics,1,1,0
Yuliya Gushchina,25,Russia,2008,24/08/2008,Athletics,1,1,0
Tatyana Lebedeva,32,Russia,2008,24/08/2008,Athletics,0,2,0
LaShawn Merritt,22,United States,2008,24/08/2008,Athletics,2,0,0
David Neville,24,United States,2008,24/08/2008,Athletics,1,0,1
Sanya Richards-Ross,23,United States,2008,24/08/2008,Athletics,1,0,1
Kerron Stewart,24,Jamaica,2008,24/08/2008,Athletics,0,1,1
Jared Tallent,23,Australia,2008,24/08/2008,Athletics,0,1,1
Angelo Taylor,29,United States,2008,24/08/2008,Athletics,2,0,0
Richard Thompson,23,Trinidad and Tobago,2008,24/08/2008,Athletics,0,2,0
Jeremy Wariner,24,United States,2008,24/08/2008,Athletics,1,1,0
Shericka Williams,22,Jamaica,2008,24/08/2008,Athletics,0,1,1
Nataliya Antyukh,23,Russia,2004,29/08/2004,Athletics,0,1,1
Kenenisa Bekele,22,Ethiopia,2004,29/08/2004,Athletics,1,1,0
Derrick Brew,26,United States,2004,29/08/2004,Athletics,1,0,1
Shawn Crawford,26,United States,2004,29/08/2004,Athletics,1,1,0
Hicham El Guerrouj,29,Morocco,2004,29/08/2004,Athletics,2,0,0
Maurice Greene,30,United States,2004,29/08/2004,Athletics,0,1,1
Otis Harris,22,United States,2004,29/08/2004,Athletics,1,1,0
Kelly Holmes,34,Great Britain,2004,29/08/2004,Athletics,2,0,0
Tatyana Lebedeva,28,Russia,2004,29/08/2004,Athletics,1,0,1
Jeremy Wariner,20,United States,2004,29/08/2004,Athletics,2,0,0
Ato Boldon,26,Trinidad and Tobago,2000,1/10/00,Athletics,0,1,1
Pauline Davis-Thompson,34,Bahamas,2000,1/10/00,Athletics,2,0,0
Lorraine Graham,27,Jamaica,2000,1/10/00,Athletics,0,2,0
Maurice Greene,26,United States,2000,1/10/00,Athletics,2,0,0
Greg Haughton,26,Jamaica,2000,1/10/00,Athletics,0,1,1
Deon Hemmings,31,Jamaica,2000,1/10/00,Athletics,0,2,0
Robert Korzeniowski,32,Poland,2000,1/10/00,Athletics,2,0,0
Tayna Lawrence,25,Jamaica,2000,1/10/00,Athletics,0,2,0
Beverly McDonald,30,Jamaica,2000,1/10/00,Athletics,0,1,1
Merlene Ottey-Page,40,Jamaica,2000,1/10/00,Athletics,0,1,1
Irina Privalova,31,Russia,2000,1/10/00,Athletics,1,0,1
Gabriela Szabo,24,Romania,2000,1/10/00,Athletics,1,0,1
Gete Wami,25,Ethiopia,2000,1/10/00,Athletics,0,1,1
Elisabeth Görgl,28,Austria,2010,28/02/2010,Alpine Skiing,0,0,2
Lindsey Kildow-Vonn,25,United States,2010,28/02/2010,Alpine Skiing,1,0,1
Ivica Kostelic,30,Croatia,2010,28/02/2010,Alpine Skiing,0,2,0
Julia Mancuso,25,United States,2010,28/02/2010,Alpine Skiing,0,2,0
Tina Maze,26,Slovenia,2010,28/02/2010,Alpine Skiing,0,2,0
Maria Riesch,25,Germany,2010,28/02/2010,Alpine Skiing,2,0,0
Michaela Dorfmeister,32,Austria,2006,26/02/2006,Alpine Skiing,2,0,0
Janica Kostelic,24,Croatia,2006,26/02/2006,Alpine Skiing,1,1,0
Hermann Maier,33,Austria,2006,26/02/2006,Alpine Skiing,0,1,1
Benjamin Raich,27,Austria,2006,26/02/2006,Alpine Skiing,2,0,0
Marlies Schild,24,Austria,2006,26/02/2006,Alpine Skiing,0,1,1
Rainer Schönfelder,28,Austria,2006,26/02/2006,Alpine Skiing,0,0,2
Kjetil André Aamodt,30,Norway,2002,24/02/2002,Alpine Skiing,2,0,0
Renate Götschl,26,Austria,2002,24/02/2002,Alpine Skiing,0,1,1
Lasse Kjus,31,Norway,2002,24/02/2002,Alpine Skiing,0,1,1
Bode Miller,24,United States,2002,24/02/2002,Alpine Skiing,0,2,0
Anja Pärson,20,Sweden,2002,24/02/2002,Alpine Skiing,0,1,1
Benjamin Raich,23,Austria,2002,24/02/2002,Alpine Skiing,0,0,2
Ki Bo-Bae,24,South Korea,2012,12/8/12,Archery,2,0,0
Oh Jin-Hyek,30,South Korea,2012,12/8/12,Archery,1,0,1
Park Gyeong-Mo,32,South Korea,2008,24/08/2008,Archery,1,1,0
Park Seong-Hyeon,25,South Korea,2008,24/08/2008,Archery,1,1,0
Yun Ok-Hui,23,South Korea,2008,24/08/2008,Archery,1,0,1
Zhang Juanjuan,27,China,2008,24/08/2008,Archery,1,1,0
Lee Seong-Jin,19,South Korea,2004,29/08/2004,Archery,1,1,0
Park Seong-Hyeon,21,South Korea,2004,29/08/2004,Archery,2,0,0
Kim Nam-Sun,20,South Korea,2000,1/10/00,Archery,1,1,0
Kim Su-Nyeong,29,South Korea,2000,1/10/00,Archery,1,0,1
Vic Wunderle,24,United States,2000,1/10/00,Archery,0,1,1
Yun Mi-Jin,17,South Korea,2000,1/10/00,Archery,2,0,0
Artur Aleksanyan,20,Armenia,2012,12/8/12,Wrestling,0,0,1
Valeriy Andriitsev,25,Ukraine,2012,12/8/12,Wrestling,0,1,0
Rövs?n Bayramov,25,Azerbaijan,2012,12/8/12,Wrestling,0,1,0
Jordan Burroughs,24,United States,2012,12/8/12,Wrestling,1,0,0
Clarissa Chun,30,United States,2012,12/8/12,Wrestling,0,0,1
Yogeshwar Dutt,29,India,2012,12/8/12,Wrestling,0,0,1
Jaime Espinal,27,Puerto Rico,2012,12/8/12,Wrestling,0,1,0
Johan Eurén,27,Sweden,2012,12/8/12,Wrestling,0,0,1
Karam Gaber,32,Egypt,2012,12/8/12,Wrestling,0,1,0
Daniyal Gadzhiyev,26,Kazakhstan,2012,12/8/12,Wrestling,0,0,1
Komeil Ghasemi,24,Iran,2012,12/8/12,Wrestling,0,0,1
Giorgi Gogshelidze,32,Georgia,2012,12/8/12,Wrestling,0,0,1
Sadegh Goudarzi,24,Iran,2012,12/8/12,Wrestling,0,1,0
Steeve Guénot,26,France,2012,12/8/12,Wrestling,0,0,1
Carol Huynh,31,Canada,2012,12/8/12,Wrestling,0,0,1
Kaori Icho,28,Japan,2012,12/8/12,Wrestling,1,0,0
Damian Janikowski,23,Poland,2012,12/8/12,Wrestling,0,0,1
Jing Ruixue,24,China,2012,12/8/12,Wrestling,0,1,0
Arsen Julfalakyan,25,Armenia,2012,12/8/12,Wrestling,0,1,0
Riza Kayaalp,22,Turkey,2012,12/8/12,Wrestling,0,0,1
Aleksandras Kazakevicius,26,Lithuania,2012,12/8/12,Wrestling,0,0,1
Vladimer Khinchegashvili,21,Georgia,2012,12/8/12,Wrestling,0,1,0
Alan Khugayev,23,Russia,2012,12/8/12,Wrestling,1,0,0
Kim Hyeon-Wu,23,South Korea,2012,12/8/12,Wrestling,1,0,0
Besik Kudukhov,25,Russia,2012,12/8/12,Wrestling,0,1,0
Sushil Kumar,29,India,2012,12/8/12,Wrestling,0,1,0
Zaur Kuramagomedov,24,Russia,2012,12/8/12,Wrestling,0,0,1
Ehsan Naser Lashgari,26,Iran,2012,12/8/12,Wrestling,0,0,1
Revaz Lashkhi,24,Georgia,2012,12/8/12,Wrestling,0,1,0
Jimmy Lidberg,30,Sweden,2012,12/8/12,Wrestling,0,0,1
Liván López,30,Cuba,2012,12/8/12,Wrestling,0,0,1
Mijaín López,29,Cuba,2012,12/8/12,Wrestling,1,0,0
Tamás Lorincz,25,Hungary,2012,12/8/12,Wrestling,0,1,0
Bilyal Makhov,24,Russia,2012,12/8/12,Wrestling,0,0,1
Gyuzel Manyurova,34,Kazakhstan,2012,12/8/12,Wrestling,0,0,1
Dato Marsagishvili,21,Georgia,2012,12/8/12,Wrestling,0,0,1
Ryutaro Matsumoto,26,Japan,2012,12/8/12,Wrestling,0,0,1
Péter Módos,24,Hungary,2012,12/8/12,Wrestling,0,0,1
Davit Modzmanashvili,25,Georgia,2012,12/8/12,Wrestling,0,1,0
Heiki Nabi,27,Estonia,2012,12/8/12,Wrestling,0,1,0
Omid Noroozi,26,Iran,2012,12/8/12,Wrestling,1,0,0
Hitomi Obara,31,Japan,2012,12/8/12,Wrestling,1,0,0
Dzhamal Otarsultanov,25,Russia,2012,12/8/12,Wrestling,1,0,0
Xetaq Qazyumov,29,Azerbaijan,2012,12/8/12,Wrestling,0,0,1
Yuliya Ratkeviç,27,Azerbaijan,2012,12/8/12,Wrestling,0,0,1
